"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,36607716,1,36773081
2019,36597977,1,36763747
2019,36597981,1,36763749
2019,36607736,1,36768168
2019,36602615,3,36773112
2019,36597985,1,36763756
2019,36597986,1,36763757
2019,36607755,1,36768185
2019,36597987,1,36763758
2019,36607766,1,36768196
2019,36602649,1,36773145
2019,36602657,1,36768206
2019,36597997,1,36763768
2019,36597998,1,36763769
2019,36607790,1,36768220
2019,36602680,1,36773176
2019,36607802,1,36768234
2019,36598012,1,36773193
2019,36607813,1,36773202
2019,36602706,3,36763781
2019,36607829,1,36773220
2019,36607853,1,36773243
2019,36598029,6,36763802
2019,36607947,3,36768374
2019,36607965,1,36768397
2019,36602901,1,36773392
2019,36608009,1,36768437
2019,36608012,1,36768440
2019,36608021,7,36768452
2019,36608047,1,36768472
2019,36602953,1,36768480
2019,36608057,1,36768482
2019,36598153,1,36763945
2019,36608625,1,36769047
2019,36608634,1,36769050
2019,36603513,1,36763953
2019,36603523,6,36774013
2019,36608648,7,36769059
2019,36603537,3,36774027
2019,36598162,1,36769062
2019,36603844,1,36774358
2019,36603846,1,36774359
2019,36598307,6,36764101
2019,36598329,1,36764118
2019,36603931,1,36774453
2019,36598369,1,36764160
2019,36598377,1,36764170
2019,36598382,1,36764174
2019,36609185,1,36769570
2019,36598406,1,36764198
2019,36598405,1,36764197
2019,36609208,1,36769589
2019,36609223,1,36769606
2019,36598415,1,36764206
2019,36598447,1,36774567
2019,36598452,1,36764239
2019,36598463,1,36764250
2019,36604064,6,36769666
